ìpH meter experiment!
 Voltage: 1.29    pH value: 5.09
 Voltage: 1.35    pH value: 5.26
 Voltage: 1.34    pH value: 5.23
 Voltage: 0.85    pH value: 3.82
 Voltage: 0.00    pH value: 1.38
 Voltage: 0.00    pH value: 1.37
 Voltage: 0.00    pH value: 1.37
 Voltage: 0.00    pH value: 1.37
 Voltage: 0.00    pH value: 1.37
 Voltage: 0.00    pH value: 1.37
 Voltage: 0.00    pH value: 1.37
 Voltage: 0.39    pH value: 2.49
 Voltage: 0.84    pH value: 3.77
 Voltage: 0.54    pH value: 2.93
 Voltage: 1.37    pH value: 5.31
 Voltage: 1.37    pH value: 5.30
 Voltage: 1.37    pH value: 5.30
 Voltage: 1.37    pH value: 5.30
 Voltage: 1.37    pH value: 5.30
 Voltage: 1.37    pH value: 5.30
 Voltage: 1.37    pH value: 5.30
 Voltage: 1.37    pH value: 5.29
 Voltage: 1.37    pH value: 5.30
 Voltage: 1.37    pH value: 5.29
 Voltage: 1.37    pH value: 5.29
 Voltage: 1.37    pH value: 5.30
 Voltage: 1.37    pH value: 5.30
 Voltage: 1.37    pH value: 5.31
 Voltage: 1.37    pH value: 5.31
 Voltage: 1.37    pH value: 5.31
 Voltage: 1.34    pH value: 5.22
 Voltage: 1.27    pH value: 5.01
 Voltage: 1.26    pH value: 4.99
 Voltage: 1.25    pH value: 4.97
 Voltage: 1.25    pH value: 4.96
 Voltage: 1.25    pH value: 4.95
 Voltage: 1.25    pH value: 4.96
 Voltage: 1.25    pH value: 4.95
 Voltage: 1.25    pH value: 4.96
 Voltage: 1.25    pH value: 4.96
 Voltage: 1.25    pH value: 4.96
 Voltage: 1.25    pH value: 4.96
 Voltage: 1.25    pH value: 4.97
 Voltage: 1.25    pH value: 4.97
 Voltage: 1.25    pH value: 4.97
 Voltage: 1.25    pH value: 4.98
 Voltage: 1.26    pH value: 4.98
 Voltage: 1.26    pH value: 4.98
 Voltage: 1.26    pH value: 4.98
 Voltage: 1.26    pH value: 4.99
 Voltage: 1.26    pH value: 4.99
 Voltage: 1.26    pH value: 4.99
 Voltage: 1.26    pH value: 5.00
 Voltage: 1.26    pH value: 5.00
 Voltage: 1.26    pH value: 5.00
 Voltage: 1.26    pH value: 5.00
 Voltage: 1.26    pH value: 5.00
 Voltage: 1.26    pH value: 5.00
 Voltage: 1.26    pH value: 5.00
 Voltage: 1.26    pH value: 5.00
 Voltage: 1.26    pH value: 5.00
 Voltage: 1.26    pH value: 5.00
 Voltage: 1.22    pH value: 4.87
 Voltage: 1.23    pH value: 4.90
 Voltage: 1.25    pH value: 4.95
 Voltage: 1.25    pH value: 4.95
 Voltage: 1.26    pH value: 4.99
 Voltage: 1.26    pH value: 4.99
 Voltage: 1.26    pH value: 4.99
 Voltage: 1.26    pH value: 4.99
 Voltage: 1.26    pH value: 4.99
 Voltage: 1.26    pH value: 4.99
 Voltage: 1.26    pH value: 4.99
 Voltage: 1.26    pH value: 4.98
 Voltage: 1.26    pH value: 4.99
 Voltage: 1.26    pH value: 4.98
 Voltage: 1.26    pH value: 4.98
 Voltage: 1.26    pH value: 4.98
 Voltage: 1.25    pH value: 4.97
 Voltage: 1.25    pH value: 4.97
 Voltage: 1.25    pH value: 4.97
 Voltage: 1.25    pH value: 4.97
 Voltage: 1.25    pH value: 4.97
 Voltage: 1.25    pH value: 4.98
 Voltage: 1.25    pH value: 4.97
 Voltage: 1.25    pH value: 4.96
 Voltage: 1.25    pH value: 4.96
 Voltage: 1.25    pH value: 4.96
 Voltage: 1.26    pH value: 4.98
 Voltage: 1.26    pH value: 4.99
 Voltage: 1.26    pH value: 4.98
 Voltage: 1.26    pH value: 4.99
 Voltage: 1.26    pH value: 4.99
 Voltage: 1.26    pH value: 4.99
 Voltage: 1.26    pH value: 4.99
 Voltage: 1.26    pH value: 4.99
 Voltage: 1.26    pH value: 4.99
 Voltage: 1.26    pH value: 4.99
 Voltage: 1.26    pH value: 4.99
 Voltage: 1.26    pH value: 4.99
 Voltage: 1.26    pH value: 4.99
 Voltage: 1.26    pH value: 4.98
 Voltage: 1.26    pH value: 4.98
 Voltage: 1.26    pH value: 4.98
 Voltage: 1.26    pH value: 4.99
 Voltage: 1.26    pH value: 4.98
 Voltage: 1.26    pH value: 4.98
 Voltage: 1.26    pH value: 4.98
 Voltage: 1.26    pH value: 4.99
 Voltage: 1.26    pH value: 4.99
 Voltage: 1.26    pH value: 4.98
 Voltage: 1.26    pH value: 4.99
 Voltage: 1.26    pH value: 4.98
 Voltage: 1.26    pH value: 4.98
 Voltage: 1.26    pH value: 4.98
 Voltage: 1.26    pH value: 4.98
 Voltage: 1.26    pH value: 4.98
 Voltage: 1.26    pH value: 4.99
 Voltage: 1.26    pH value: 4.99
 Voltage: 1.26    pH value: 4.99
 Voltage: 1.26    pH value: 4.98
 Voltage: 1.26    pH value: 4.98
 Voltage: 1.26    pH value: 4.98
 Voltage: 1.26    pH value: 4.99
 Voltage: 1.26    pH value: 4.98
 Voltage: 1.26    pH value: 4.98
 Voltage: 1.26    pH value: 4.98
 Voltage: 1.26    pH value: 4.98
 Voltage: 1.26    pH value: 4.99
 Voltage: 1.26    pH value: 4.98
 Voltage: 1.26    pH value: 4.98
 Voltage: 1.26    pH value: 4.98
 Voltage: 1.26    pH value: 4.98
 Voltage: 1.26    pH value: 4.98
 Voltage: 1.26    pH value: 4.98
 Voltage: 1.26    pH value: 4.98
 Voltage: 1.26    pH value: 4.98
 Voltage: 1.26    pH value: 4.98
