pH meter experiment!
 Voltage: 1.27    pH value: 5.01
 Voltage: 1.33    pH value: 5.20
 Voltage: 1.34    pH value: 5.21
 Voltage: 1.34    pH value: 5.21
 Voltage: 1.32    pH value: 5.17
 Voltage: 1.79    pH value: 6.50
 Voltage: 1.95    pH value: 6.98
 Voltage: 1.96    pH value: 7.01
 Voltage: 1.96    pH value: 7.01
 Voltage: 1.98    pH value: 7.06
 Voltage: 1.98    pH value: 7.07
 Voltage: 1.99    pH value: 7.08
 Voltage: 1.99    pH value: 7.08
 Voltage: 1.99    pH value: 7.09
 Voltage: 1.99    pH value: 7.09
 Voltage: 1.99    pH value: 7.09
 Voltage: 1.99    pH value: 7.10
 Voltage: 2.00    pH value: 7.10
 Voltage: 2.00    pH value: 7.10
 Voltage: 2.00    pH value: 7.11
 Voltage: 2.00    pH value: 7.11
 Voltage: 2.00    pH value: 7.12
 Voltage: 2.00    pH value: 7.12
 Voltage: 2.00    pH value: 7.12
 Voltage: 2.00    pH value: 7.12
 Voltage: 2.00    pH value: 7.12
 Voltage: 2.00    pH value: 7.12
 Voltage: 2.00    pH value: 7.13
 Voltage: 2.00    pH value: 7.13
 Voltage: 2.01    pH value: 7.13
 Voltage: 2.01    pH value: 7.13
 Voltage: 2.01    pH value: 7.13
 Voltage: 2.01    pH value: 7.13
 Voltage: 2.01    pH value: 7.13
 Voltage: 2.01    pH value: 7.13
 Voltage: 2.01    pH value: 7.14
 Voltage: 2.01    pH value: 7.14
 Voltage: 2.01    pH value: 7.14
 Voltage: 2.01    pH value: 7.14
 Voltage: 2.01    pH value: 7.14
 Voltage: 2.01    pH value: 7.14
 Voltage: 2.01    pH value: 7.14
 Voltage: 2.01    pH value: 7.14
 Voltage: 2.01    pH value: 7.14
 Voltage: 2.01    pH value: 7.14
 Voltage: 2.01    pH value: 7.14
 Voltage: 2.01    pH value: 7.14
 Voltage: 2.01    pH value: 7.14
 Voltage: 2.01    pH value: 7.14
 Voltage: 2.01    pH value: 7.14
 Voltage: 2.01    pH value: 7.14
 Voltage: 2.01    pH value: 7.14
 Voltage: 2.01    pH value: 7.14
 Voltage: 2.01    pH value: 7.15
 Voltage: 2.01    pH value: 7.14
 Voltage: 2.01    pH value: 7.14
 Voltage: 2.01    pH value: 7.14
 Voltage: 2.01    pH value: 7.15
 Voltage: 2.01    pH value: 7.14
 Voltage: 2.01    pH value: 7.15
 Voltage: 2.01    pH value: 7.14
 Voltage: 2.01    pH value: 7.15
 Voltage: 2.01    pH value: 7.15
 Voltage: 2.01    pH value: 7.15
 Voltage: 2.01    pH value: 7.15
 Voltage: 2.01    pH value: 7.15
 Voltage: 2.01    pH value: 7.15
 Voltage: 2.01    pH value: 7.15
 Voltage: 2.01    pH value: 7.15
 Voltage: 2.01    pH value: 7.15
 Voltage: 2.01    pH value: 7.15
 Voltage: 2.01    pH value: 7.15
 Voltage: 2.01    pH value: 7.15
 Voltage: 2.01    pH value: 7.15
 Voltage: 2.01    pH value: 7.15
 Voltage: 2.01    pH value: 7.15
 Voltage: 2.01    pH value: 7.15
 Voltage: 2.01    pH value: 7.15
 Voltage: 2.01    pH value: 7.14
 Voltage: 2.01    pH value: 7.15
 Voltage: 2.01    pH value: 7.15
 Voltage: 2.01    pH value: 7.15
 Voltage: 2.01    pH value: 7.15
 Voltage: 2.01    pH value: 7.15
 Voltage: 2.01    pH value: 7.15
 Voltage: 2.01    pH value: 7.15
 Voltage: 2.01    pH value: 7.15
 Voltage: 2.01    pH value: 7.15
 Voltage: 2.01    pH value: 7.15
 Voltage: 2.01    pH value: 7.15
 Voltage: 2.01    pH value: 7.15
 Voltage: 2.01    pH value: 7.14
 Voltage: 2.01    pH value: 7.14
 Voltage: 2.01    pH value: 7.15
 Voltage: 2.01    pH value: 7.15
 Voltage: 2.01    pH value: 7.15
 Voltage: 2.01    pH value: 7.14
 Voltage: 2.01    pH value: 7.14
 Voltage: 2.01    pH value: 7.14
 Voltage: 2.01    pH value: 7.14
 Voltage: 2.01    pH value: 7.14
 Voltage: 2.01    pH value: 7.14
 Voltage: 2.01    pH value: 7.14
 Voltage: 2.01    pH value: 7.14
 Voltage: 2.01    pH value: 7.14
 Voltage: 2.01    pH value: 7.14
